sid,source
81,"#include<iostream>
#include<stdio.h>
using namespace std;
int main()
{
	int n;
	cin>>n;
	for(;n>0;n--)
	{
        int t,i,a,b,c,sum=0;
		char ch;
		scanf(""%d-%d-%d-%c"",&a,&b,&c,&ch);
		int aa=a,bb=b,cc=c;
        sum+=a;
		for(i=4;i>=2;i--)
		{
			if(b==0)
				break;
			t=b%10;
			sum+=i*t;
			b=b/10;

		}
		for(i=9;i>=5;i--)
		{
			if(c==0)
				break;
			t=c%10;
			sum+=i*t;
			c=c/10;
		}
		int g=sum%11;
		if(g==ch-'0')
			cout<<""Right""<<endl;
		else
		{
			if(ch=='X'&&g==10)
				cout<<""Right""<<endl;
			else
			{
				if(g==10)
				    printf(""%d-%03d-%05d-X\n"",aa,bb,cc);
				else				
					printf(""%d-%03d-%05d-%d\n"",aa,bb,cc,g);


			}

		}


	}
	return 0;
}"
82,"#include<iostream>
using namespace std;
int main()
{
	char a[14],x='X';
	int n,r,i;
	cin>>n;
	while(n--)
	{
		cin>>a;
		r=0;
		for(i=0;i<=0;i++)
			r+=(a[i]-48)*(i+1);
		for(i=2;i<=4;i++)
			r+=(a[i]-48)*i;
		for(i=6;i<=10;i++)
			r+=(a[i]-48)*(i-1);
		if(a[12]==(r%11+48))
			cout<<""Rigth""<<endl;
		else
		{
			if(r%11==10)
			a[12]=x;
			else
				a[12]=r%11+48;
			cout<<a<<endl;
		}
	}
	return 0;
}"
83,"#include<stdio.h>
int count(int n)
{
	if(n==1) return 1;
	if(n==2) return 2;
	else return count(n-1)+count(n-2);
}
int main()
{
	int n;
	while(scanf(""%d"",&n)!=EOF)
	{
		int sum;
		sum=count(n);
		printf(""%d\n"",sum);
	}
	return 0;
}
"
84,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char s[150][30],t[30];
	scanf(""%d\n"",&n);
	for(i=0;i<n;i++)
	{
		gets(s[i]);
	}
	for(j=n-1;j>0;j--)
	{
		for(i=0;i<j+1;i++)
		{
		    if(strcmp(s[i],s[i+1])>0)
			{
			    strcpy(t,s[i]);
		     	strcpy(s[i],s[i+1]);
		     	strcpy(s[i+1],t);
			}
		}
	}
	for(i=0;i<n;i++)
	{
		if(strcmp(s[i],""China"")!=0)
			printf(""%s\n"",s[i]);
	}
	printf(""China\n"");
	return 0;
}
"
85,"#include<stdio.h>
int fun(int n)
{
	if(n==1) return 1;
	else if(n==2) return 2;
	else return fun(n-1)+fun(n-2);
}
int main()
{
	int a,c;
	while(scanf(""%d"",&a)!=EOF)
	{
		c=fun(a);
		printf(""%d\n"",c);
	}
	return 0;
}"
86,"#include<stdio.h>
int main(){

	int n,i;
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
char a[15];
int sum,mod;
scanf(""%s"",a);
sum=a[0]-48+(a[2]-48)*2+(a[3]-48)*3+(a[4]-48)*4+(a[6]-48)*5+(a[7]-48)*6+(a[8]-48)*7+(a[9]-48)*8+(a[10]-48)*9;
mod=sum%11;
if(mod==0)
   if(mod==a[12]-48)
	   printf(""Right\n"");
   else
   {
   a[12]='X';
   printf(""%s\n"",a);
   }
else
   if(mod==a[12]-48)
	   printf(""Right\n"");
   else
   {
   a[12]=mod+48;
   printf(""%s\n"",a);
   }
	}
return 0;
}"
87,"#include<stdio.h>
int fun(int x){
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main(){
	int n;
	while(scanf(""%d"",&n)!=EOF){
		printf(""%d\n"",fun(n));
	}
	return 0;
}
"
88,"#include<stdio.h>
int main(){
int l,m,a,b,result,i;
while(scanf(""%d%d"",&l,&m)!=EOF){
   result=0;
   int tree[100001]={0};
   while(m--){
	   scanf(""%d%d"",&a,&b);
       for(i=a;i<=b;i++) tree[i]=1;
       
   
   
   }

   for(i=0;i<=l;i++){result=result+tree[i];}
result=l+1-result;

printf(""%d"",result);




}



return 0;"
89,"#include<stdio.h>
int digui(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else return digui(x-1)+digui(x-2);
}
int main()
{
	int n;
	while(scanf(""%d"",&n)!=EOF)
	{
		int i=digui(n);
		printf(""%d\n"",i);
	}
	return 0;
}
"
90,"#include<iostream>
using namespace std;
int main()
{
	char a[14],x='X';
	int n,r,i;
	cin>>n;
	while(n--)
	{
		cin>>a;
		r=0;
		for(i=0;i<=0;i++)
			r+=(a[i]-48)*(i+1);
		for(i=2;i<=4;i++)
			r+=(a[i]-48)*i;
		for(i=6;i<=10;i++)
			r+=(a[i]-48)*(i-1);
		if(a[12]==(r%11+48))
			cout<<""Rigth""<<endl;
		else if(r%11==10&&a[12]=='X')
			cout<<""Rigth""<<endl;
		else
		{
			if(r%11==10)
			a[12]=x;
			else
				a[12]=r%11+48;
			cout<<a<<endl;
		}
	}
	return 0;
}"
91,"#include<iostream>
#include<string.h>
using namespace std;
int main()
{
	int T,c,i,s,b;
	char a[14];
		cin>>T;
	for(i=0;i<T;i++)
	{
			cin>>a;
	c=strlen(a);
	for(b=0;b<c;b++)
		a[b]-=48;
	s=(a[0]*1+a[2]*2+a[3]*3+a[4]*4+a[6]*5+a[7]*6+a[8]*7+a[9]*8+a[10]*9)%11; 
	if(s==a[12])
		cout<<""Right""<<endl;
	else
	{
		a[12]=s;
	for(b=0;b<c;b++)
		a[b]+=48;
		for(b=0;b<c;b++)
			cout<<a[b];
		cout<<endl;
	}
	}
	return 0;
} "
92,"#include<stdio.h>
int main(){
int l,m,a,b,result,i;
while(scanf(""%d%d"",&l,&m)!=EOF){
   result=0;
   int tree[100001]={0};
   while(m--){
	   scanf(""%d%d"",&a,&b);
       for(i=a;i<=b;i++) tree[i]=1;
       
   
   
   }

   for(i=0;i<=l;i++){result=result+tree[i];}
result=l+1-result;

printf(""%d"",result);




}



return 0;





}"
93,"#include<stdio.h>
int main()
{
	int n,i,j;
    __int64 ans;
	while(scanf(""%d"",&n)!=EOF)
	{
		ans=1;
		j=0;
		if(n<1||n>30) return 0;
		else
		{
			for(i=1;i<=n;i++)
			{
			    ans=ans*i;
			}
         do
		 {
			 ans=ans/10;
			 j++;
		 }while(ans!=0);
		 printf(""%d\n"",j);
		}
	}
return 0;
}
"
94,"#include<iostream>
using namespace std;
int main()
{
	char a[14],x='X';
	int n,r,i;
	cin>>n;
	while(n--)
	{
		cin>>a;
		r=0;
		for(i=0;i<=0;i++)
			r+=(a[i]-48)*(i+1);
		for(i=2;i<=4;i++)
			r+=(a[i]-48)*i;
		for(i=6;i<=10;i++)
			r+=(a[i]-48)*(i-1);
		if(a[12]==(r%11+48))
			cout<<""Right""<<endl;
		else if(r%11==10&&a[12]=='X')
			cout<<""Rigth""<<endl;
		else
		{
			if(r%11==10)
			a[12]=x;
			else
				a[12]=r%11+48;
			cout<<a<<endl;
		}
	}
	return 0;
}"
95,"#include<stdio.h>
int main()
{
	int af[10001]={0};
	int a,i;
    while(scanf(""%d"",&a)!=EOF)
	{
		if(a==-1)
			break;
		else
			af[a]+=1;
	}
	for(i=1;i<10001;i++)
		if(af[i]!=0)
			printf(""%d %d\n"",i,af[i]);
		return 0;
}"
96,"#include<stdio.h>
#include<string.h>
int main()
{
 int i,n,t,j,sum;
 char s[20];
 scanf(""%d"",&t);
 for(j=0;j<t;j++)
 {
  scanf(""%s"",&s);
  n=strlen(s);
  for(i=0;i<n;i++)
  sum=((s[0]-48)+(s[2]-48)*2+(s[3]-48)*3+(s[4]-48)*4+(s[6]-48)*5+(s[7]-48)*6+(s[8]-48)*7+(s[9]-48)*8+(s[10]-48)*9)%11;
  if(sum==10)
  {
   if(s[12]=='X')printf(""Right\n"");
   else 
   {
	   for(i=0;i<n-1;i++)printf(""%c"",s[i]);
       printf(""X\n"");
   }
  }
  else
  {
	  if(sum==s[12]-48)printf(""Right\n"");
      else
	  {
	   for(i=0;i<n-1;i++)printf(""%c"",s[i]);
       printf(""%d\n"",sum);
	  }
  }
 }
 return 0;
}"
97,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n){
	cout<<fun(n)<<endl;
	}
	return 0;
}
"
98,"#include<stdio.h>
#include<iostream>
using namespace std;
int main()
{
	int m,n,a,s;
	while(cin>>n)
	{
		s=0;
		m=n;
		while(m--)
		{
		  cin>>a;
	      s=s+a;
		}
		cout<<s;
		if(n!=0) cout<<endl;
	}
    
return 0;
}

"
99,"#include<stdio.h>
#include<iostream>
using namespace std;
int main()
{
	int m,n,a,s;
	while(cin>>n)
	{
		s=0;
		m=n;
		while(m--)
		{
		  cin>>a;
	      s=s+a;
		}
		cout<<s;
		if(n!=0) cout<<endl;
	}
    
return 0;
}

"
100,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n);
    return 0;
}
"
101,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n);
    return 0;
}
"
102,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n)<<endl;
    return 0;
}
"
103,"#include<stdio.h>
int main()
{
	char a[14],b,i;
	scanf(""%d"",&b);
	while(b--)
	{
		int j=0,sum=0;
		scanf(""%s"",a);
		for(i=0;i<11;i++)
		{	if(a[i]>='0'&&a[i]<='9')
				sum+=(++j)*(a[i]-'0');
		}
		if(sum%11==(a[12]-'0'))
			printf(""Right\n"");
		else if(a[i+2]=='X')
		{if(sum%11==10)
				printf(""Right\n"");
		}
		else 
		{	for(i=0;i<12;i++)
				printf(""%c"",a[i]);
		    if(sum%11==10)
			  printf(""X\n"");
			else printf(""%d\n"",sum%11);
		}
	}
	return 0;
}




"
104,"#include<stdio.h>

int main()
{
	int n,s,t,i,j,k;
	char a[14];
	scanf(""%d"",&n);
	for(i=1;i<=n;i++)
	{
		
			scanf(""%s"",a);
        s=(a[0]-48)+(a[2]-48)*2+(a[3]-48)*3+(a[4]-48)*4+(a[6]-48)*5+(a[7]-48)*6+(a[8]-48)*7+(a[9]-48)*8+(a[10]-48)*9;
		t=s%11;
		if(a[12]-48==t&&a[12]!='X')
			printf(""Right\n"");
		else if(a[12]=='X'&&t==10)
            printf(""Right\n"");
		  
		else
		{
			for(j=0;j<12;j++)
				printf(""%c"",a[j]);
			if(t<10)
			printf(""%d\n"",t);
			else
				printf(""X\n"");
		}
	}
	return 0;
}"
105,"#include<stdio.h>
int a(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else
		return a(x-1)+a(x-2);
}
int main()
{
	int n;
	while((scanf(""%d"",&n))!=EOF)
	{
		int m=a(n);
		printf(""%d\n"",m);
	}
	return 0;
}"
106,"#include<stdio.h>
int main()
{
	char a[14],b,i;
	scanf(""%d"",&b);
	while(b--)
	{
		int j=0,sum=0;
		scanf(""%s"",a);
		for(i=0;i<11;i++)
		{	if(a[i]>='0'&&a[i]<='9')
				sum+=(++j)*(a[i]-'0');
		}
		if(sum%11==(a[12]-'0'))       
			printf(""Right\n"");
		else if(a[12]=='X')
		{if(sum%11==10)
				printf(""Right\n"");
		}
		else 
		{	for(i=0;i<12;i++)
				printf(""%c"",a[i]);
		    if(sum%11==10)
			  printf(""X\n"");
			else printf(""%d\n"",sum%11);
		}
	}
	return 0;
}




"
107,"#include <string.h>
#include <iostream>
#define N 100
using namespace std;
int main( )
{
	char name[N][30],temp[30];
	int i,k,n,j;
	while(cin>>n)
	{
	for(i=0;i<n;i++)
	   cin>>name[i];
	for(i=0; i<n-1;i++)
	{
	       k=i;
	       for(j=i+1;j<n;j++) 
	   	if(strcmp(name[j],name[k])<0)k=j;
		if(k!=i)
		{
	            		strcpy(temp,name[i]);
                		strcpy(name[i],name[k]);
               			strcpy(name[k],temp);
		}
   	 }
	for(i=0; i<n;i++)
       if(strcmp(name[i],""China"")!=0)
		cout<<name[i]<<endl;
        cout<<""China""<<endl;
	}
	return 0;
}
"
108,"#include<stdio.h>
int main()
{
	int a,i,T,sum=0,j=1;
    char b[13];
    scanf(""%d"",&T);
	while(T--)
	{
      gets(b);
	  for(i=0;i<12;i++)
		  if(b[i]!='-'){
			  sum=sum+(b[i]-48)*j;
			  j++;}
	  if(b[12]==sum%11)
		  printf(""Right\n"");
	  else if(sum%11==10&&b[12]=='x')
		  printf(""Right\n"");
	  else
	  {
		  if(sum%11!=10)
			  b[12]=sum%11;
		  else{
			  b[12]='x';
			  puts(b);
		  printf(""\n"");
		  }
	  }
	}
 return 0;   
}"
109,"#include<stdio.h>
int main()
{
	int l,i,j,n,begin,end,count;
	int trees[10001];
	
	while(scanf(""%d %d"",&l,&n)!=EOF)
	{
		for(i=0;i<10001;i++)
			trees[i]=1;
	   for(i=0;i<n;i++)
	{
		scanf(""%d%d"",&begin, &end);
		for(j=begin;j<=end;j++)
			trees[j]=0;
	}
	 count=0;
	for(i=0;i<=l;i++)
		if(trees[i]==1) count++;
		printf(""%d\n"",count);
	}
	return 0;
	
}"
110,"#include<stdio.h>
int main()
{
	char a[14],b,i;
	scanf(""%d"",&b);
	while(b--)
	{
		int j=0,sum=0;
		scanf(""%s"",a);
		for(i=0;i<11;i++)
		{	if(a[i]>='0'&&a[i]<='9')
				sum+=(++j)*(a[i]-'0');
		}
		if(sum%11==(a[i+2]-'0'))       
			printf(""Right\n"");
		else if(a[i+2]=='X')
		{if(sum%11==10)
				printf(""Right\n"");
		}
		else 
		{	for(i=0;i<12;i++)
				printf(""%c"",a[i]);
		    if(sum%11==10)
			  printf(""X\n"");
			else printf(""%d\n"",sum%11);
		}
	}
	return 0;
}




"
111,"#include <cstring>
#include <iostream>
#include<cstdio>
#define N 1000
using namespace std;
int main()
{
	int n,i;
	char str[100][N];
	while(cin>>n)
	{
      getchar();
	  for(i=0;i<n;i++)
	 {
		gets(str[i]);
       printf(""%s\n"",strrev(str[i]));
	 }
	}     
	return 0;
}


"
112,"#include<stdio.h>
int main()
{
	char a[14],b,i;
	scanf(""%d"",&b);
	while(b--)
	{
		int j=0,sum=0;
		scanf(""%s"",a);
		for(i=0;i<11;i++)
		{	if(a[i]>='0'&&a[i]<='9')
				sum+=(++j)*(a[i]-'0');
		}
		if(sum%11==(a[i+1]-'0'))       
			printf(""Right\n"");
		else if(a[i+2]=='X')
		{if(sum%11==10)
				printf(""Right\n"");
		}
		else 
		{	for(i=0;i<12;i++)
				printf(""%c"",a[i]);
		    if(sum%11==10)
			  printf(""X\n"");
			else printf(""%d\n"",sum%11);
		}
	}
	return 0;
}




"
113,"#include<iostream>
#define N 100
using namespace std;
int main()
{
    int n,i,j,k,a[N][N];
	while(cin>>n)
	{
	for(i=0;i<n;i++)
			for(j=0;j<n;j++)
				a[i][j]=0;
					j=n/2;
					i=0;
		     	a[i][j]=1;
		for(k=2;k<=n*n;k++)
		{
			i=i-1;
			j=j+1;
			if(i<0&&j>n-1)
			{
				i=i+2;
				j=j-1;
			}
			else
			{
				if(i<0) i=n-1;
				if(j>n-1) j=0;
			}
			if(a[i][j]==0)
				a[i][j]=k;
			else
			{
				i=i+2;
				j=j-1;
				a[i][j]=k;
			}
		}
		for(i=0;i<n;i++)
		{
			for(j=0;j<n-1;j++)
				cout<<a[i][j]<<' ';
			     cout<<a[i][n-1];
					 cout<<endl;
		}
	}
		return 0;
}
"
114,"#include<stdio.h>
int main()
{
	char a[14],b,i;
	scanf(""%d"",&b);
	while(b--)
	{
		int j=0,sum=0;
		scanf(""%s"",a);
		for(i=0;i<11;i++)
		{	if(a[i]>='0'&&a[i]<='9')
				sum+=(++j)*(a[i]-'0');
		}
		if(sum%11==(a[i+1]-'0'))       
			printf(""Right\n"");
		else if(a[i+1]=='X')
		{if(sum%11==10)
				printf(""Right\n"");
		}
		else 
		{	for(i=0;i<12;i++)
				printf(""%c"",a[i]);
		    if(sum%11==10)
			  printf(""X\n"");
			else printf(""%d\n"",sum%11);
		}
	}
	return 0;
}




"
115,"#include<stdio.h>
#include<ctype.h>
int main()
{
	int a,i,j,sum;
	char b[15];
	scanf(""%d"",&a);
	while(a--)
	{
		scanf(""%s"",b);
		j=1;
		sum=0;
		for(i=0;i<11;i++)
			if(isdigit(b[i]))
			{
				sum=sum+(b[i]-48)*j;
				j++;
			}
		if(sum%11==(b[12]-48))
			printf(""Right\n"");
		else
		{
			b[12]=sum%11+48;
			printf(""%s\n"",b);
		}
	}
	return 0;
}"
116,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1)return 1;
	else if(x==2)
		return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n)<<endl;
	return 0;
}"
117,"#include<stdio.h>

int main(){
	char a[14];
	int t,i;
	int j;
	int sum;
	scanf(""%d"",&t);
	while(t--){
		sum = 0;
		j = 1;
			scanf(""%s"",a);
		for(i = 0;i <= 10;i++){
			if(a[i] != '-'){
				sum += (a[i] - '0') * j;
				j++;
			}
		}
		//printf(""%d\n"",sum);
		sum = sum % 11 +48;
		if(sum == a[12])
			printf(""Right"");
		else{
			a[12] = sum;
			for(i = 0;i < 13;i++)
			printf(""%c"",a[i]);
		}
	}
	return 0;
}"
118,"#include<stdio.h>
#include<iostream>
#include<cstring>
using namespace std;
int main()
{
	int i,j,s,T;
	char a[13];
	cin>>T;
	while(T--)
	{
		j=1;s=0;
		cin>>a;
		for(i=0;i<12;i++)
		{
			if(a[i]!='-')
			{
				s=s+(a[i]-'0')*j;
				j++;
			}
		}
		s=s%11;
		if(s==a[12]-'0')
			cout<<""Right""<<endl;
		else if((s==10)&&(a[12]=='X'))
			cout<<""Right""<<endl;
		else
		{
			for(i=0;i<12;i++)
				cout<<a[i];
			cout<<s<<endl;
		}
	}
	return 0;
}"
119,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char a[13];
	scanf(""%d"",&n);
	for(i=1;i<=n;i++)
	{
	  int k=0,m=0;
	  scanf(""%s"",a);
	  for(j=0;j<11;j++)
	  {
		  if(a[j]!='-')
		  {
			  m++;
			  k=k+m*(a[j]-'0');
		  }
	  }
	//  k=a[0]-'0'+2*(a[2]-'0')+3*(a[3]-'0')+4*(a[4]-'0')+5*(a[6]-'0')+6*(a[7]-'0')
	//   +7*(a[8]-'0')+8*(a[9]-'0')+9*(a[10]-'0');
	  if(k%11==a[12]-'0')
		  printf(""Right\n"");
	  else if(k==10&&a[12]=='X')
		  printf(""Right\n"");
	  a[13]='\0';
	  printf(""%s"",a);
	}
	return 0;
}"
120,"#include<stdio.h>

int main(){
	char a[14];
	int t,i;
	int j;
	int sum;
	scanf(""%d"",&t);
	while(t--){
		sum = 0;
		j = 1;
			scanf(""%s"",a);
		for(i = 0;i <= 10;i++){
			if(a[i] != '-'){
				sum += (a[i] - '0') * j;
				j++;
			}
		}
		//printf(""%d\n"",sum);
		sum = sum % 11 +48;
		if(sum == a[12])
			printf(""Right\n"");
		else{
			a[12] = sum;
			for(i = 0;i < 13;i++)
			printf(""%c\n"",a[i]);
		}
	}
	return 0;
}"
121,"#include<stdio.h>
int main()
{
	int n,i,j,w;
	char a[14];
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
		for(j=0;j<14;j++)
		{
			a[j]=getchar();
		}
		w=a[1]-48+(a[3]-48)*2+(a[4]-48)*3+(a[5]-48)*4+(a[7]-48)*5+(a[8]-48)*6+(a[9]-48)*7+(a[10]-48)*8+(a[11]-48)*9;
		w=w%11;
		while(w==10)
			w=88;
		if(w==(a[13]-48))
			printf(""Right\n"");
		else
		{
			for(j=1;j<14;j++)
			{
				printf(""%c"",a[j]);
			}
			printf(""\n"");
		}
	}
	return 0;
}"
122,"#include<stdio.h>

int main(){
	char a[14];
	int t,i;
	int j;
	int sum;
	scanf(""%d"",&t);
	while(t--){
		sum = 0;
		j = 1;
			scanf(""%s"",a);
		for(i = 0;i <= 10;i++){
			if(a[i] != '-'){
				sum += (a[i] - '0') * j;
				j++;
			}
		}
		//printf(""%d\n"",sum);
		sum = sum % 11 +48;
		if(sum == a[12])
			printf(""Right\n"");
		else{
			a[12] = sum;
			printf(""%s\n"",a);
			//for(i = 0;i < 13;i++)
			//printf(""%c\n"",a[i]);
		}
	}
	return 0;
}"
123,"#include<stdio.h>

int main(){
	char a[14];
	int t,i;
	int j;
	int sum;
	scanf(""%d"",&t);
	while(t--){
		sum = 0;
		j = 1;
			scanf(""%s"",a);
		for(i = 0;i <= 10;i++){
			if(a[i] != '-'){
				sum += (a[i] - '0') * j;
				j++;
			}
		}
		//printf(""%d\n"",sum);
		sum = sum % 11 +48;
		if(sum == a[12])
			printf(""Right\n"");
		else{
			a[12] = sum;
			printf(""%s\n"",a);
			//for(i = 0;i < 13;i++)
			//printf(""%c\n"",a[i]);
		}
	}
	return 0;
}"
124,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char a[13];
	scanf(""%d"",&n);
	for(i=1;i<=n;i++)
	{
	  int k=0,m=0;
	  scanf(""%s"",a);
	  for(j=0;j<11;j++)
	  {
		  if(a[j]!='-')
		  {
			  m++;
			  k=k+m*(a[j]-'0');
		  }
	  }
	//  k=a[0]-'0'+2*(a[2]-'0')+3*(a[3]-'0')+4*(a[4]-'0')+5*(a[6]-'0')+6*(a[7]-'0')
	//   +7*(a[8]-'0')+8*(a[9]-'0')+9*(a[10]-'0');
	  if(k%11==a[12]-'0')
		  printf(""Right\n"");
	  else if(k==10&&a[12]=='X')
		  printf(""Right\n"");
	  else
	  {
		 a[12]='0'+k%11;
	     a[13]='\0';
	     printf(""%s\n"",a);
	  }
	}
	return 0;
}"
125,"#include<stdio.h>
int main(){
int a,b,c;
while(scanf(""%d%d%d"",&a,&b,&c)!=EOF)
{
if((a*a+b*b==c*c)||(a*a+c*c==b*b)||(b*b+c*c==a*a))
printf(""yes\n"");
else
printf(""no\n"");
}
return 0;
}"
126,"#include<stdio.h>
int main(){
int a,b;
scanf(""%d%d"",&a,&b);
printf(""%d %d\n"",a/b,a%b);

return 0;
}"
127,"#include<stdio.h>
int main()
{
	int n;
 	scanf(""%d"",&n);
	getchar();
	while(n--)
	{
		char a[13];
		gets(a);
		
		int s=0,j=1,i;
		for(i=0;i<12;i++)
		{
			if(a[i]!='-')
			{
				s=s+(a[i]-48)*j;
				j++;
			}
		}
		int b;
		b=s%11;
		if(b==10)
		{
			if(a[12]=='x')
				printf(""right\n"");
		}
		else if(a[12]-48==b)
			printf(""right\n"");
		else
		{
			for(i=0;i<12;i++)
				printf(""%c"",a[i]);
			printf(""%d\n"",b);
		}
	}
	return 0;
}



"
128,"
#include<iostream>
using namespace std;

int main(){
int a,b;
cin>>a>>b;
cout<<a/b<<' '<<a%b<<endl;
return 0;
}
"
129,"
#include<iostream>
using namespace std;

int main(){
int a,b;
cin>>a>>b;
cout<<a/b<<' '<<a%b<<endl;
return 0;
}
"
130,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1)return 1;
	else if(x==2)return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n);
	return 0;
}"
131,"#include<iostream>
using namespace std;
int tot;
bool occ[20];
int res[20]={0};
void dfs(int num);
int main()
{
	cin>>tot;
	dfs(1);
}
void dfs(int num)
{
	if(num==(tot+1))
	{
		int i;
		for(i=1;i<=tot;i++)
			cout<<res[i];
		cout<<endl;
	}
	else
	{
		int j;
		for(j=1;j<=tot;j++)
		{
			if(!occ[j])
			{
				res[num]=j;
				occ[j]=true;
				dfs(num+1);
				occ[j]=false;
			}
		}
	}
}


"
132,"#include<stdio.h>
#include<cstring>
#include<iostream>
using namespace std;
int main()
{
	int i,j,T,s;
	char a[13];
	cin>>T;
	while(T--)
	{
		j=1;s=0;
		cin>>a;
		for(i=0;i<12;i++)
		{
			if(a[i]!='-')
			{
				s=s+(a[i]-48)*j;
				j++;

			}
		}
	
	s=s%11;
		if(s==a[12]-48)
			cout<<""right""<<endl;
		else if((s==10)&&(a[12]=='X'))
			cout<<""right""<<endl;
		else
		{
			for(i=0;i<12;i++)
				cout<<a[i];
			cout<<s<<endl;

		}
	}   
           return 0;
}"
133,"#include<iostream>
using namespace std;
int tot;
bool occ[20];
int res[20]={0};
void dfs(int num);
int main()
{
	cin>>tot;
	dfs(1);
}
void dfs(int num)
{
	if(num==(tot+1))
	{
		int i;
		for(i=1;i<=tot;i++)
			cout<<res[i];
		cout<<endl;
	}
	else
	{
		int j;
		for(j=1;j<=tot;j++)
		{
			if(!occ[j])
			{
				res[num]=j;
				occ[j]=true;
				dfs(num+1);
				occ[j]=false;
			}
		}
	}
}


"
134,"#include<stdio.h>
int main()
{
	int n;
 	scanf(""%d"",&n);
	getchar();
	while(n--)
	{
		char a[13];
		gets(a);
		
		int s=0,j=1,i;
		for(i=0;i<12;i++)
		{
			if(a[i]!='-')
			{
				s=s+(a[i]-48)*j;
				j++;
			}
		}
		int b;
		b=s%11;
		if(b==10)
		{
			if(a[12]=='X')
				printf(""Right\n"");
			else
			{
				for(i=0;i<12;i++)
					printf(""%c"",a[i]);
				printf(""X\n"");
			}

		}
		else
		{
			if(b==a[12]-48)
				printf(""Right\n"");
			else
			{
				for(i=0;i<12;i++)
					printf(""%c"",a[i]);
				printf(""%d\n"",b);
			}
		}
	}
	return 0;
}



"
135,"#include<stdio.h>
#include<iostream>
#include<cstring>
using namespace std;
int main()
{
	int i,j,T,s;
	char a[13];
	cin>>T;
	while(T--)
	{
		j=1;s=0;
		cin>>a;
		for(i=0;i<12;i++)
		{
			if(a[i]!='-')
			{
				s=s+(a[i]-48)*j;
				j++;

			}
		}
	
	s=s%11;
		if(s==a[12]-48)
			cout<<""right""<<endl;
		else if((s==10)&&(a[12]=='X'))
			cout<<""right""<<endl;
		else
		{
			for(i=0;i<12;i++)
				cout<<a[i];
			cout<<s<<endl;

		}
	}   
           return 0;
}"
136,"#include<stdio.h>
int main()
{
int num,i;
char a[13];
scanf(""%d"",&num);
while(num--)
{

	int j=1,result=0;
scanf(""%s"",a);
for(i=0;i<11;i++)
{ 
if(a[i]!='-')
{
result=result+(a[i]-48)*j;
j++;
}
}
result=result%11;
if(result==(a[12]-48))
{
	printf(""RIGHT"");
	printf(""\n"");
}
else if(result==10)
{
	a[12]='X';
printf(""%s\n"",a);
}
else 
{	a[12]=(result+48);
printf(""%s\n"",a);
}
}
return 0;
}"
137,"#include<stdio.h>
#include<iostream>
#include<cstring>
using namespace std;
int main()
{
	int i,j,T,s;
	char a[13];
	cin>>T;
	while(T--)
	{
		j=1;s=0;
		cin>>a;
		for(i=0;i<12;i++)
		{
			if(a[i]!='-')
			{
				s=s+(a[i]-48)*j;
				j++;

			}
		}
	
	s=s%11;
		if(s==a[12]-48)
			cout<<""right""<<endl;
		else if((s==10)&&(a[12]=='X'))
			cout<<""Right""<<endl;
		else
		{
			for(i=0;i<12;i++)
				cout<<a[i];
			cout<<s<<endl;

		}
	}   
           return 0;
}"
